classname,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,Unnamed:23
org::eclipse::jdt::internal::compiler::ast::SuperReference,12,6,6,6,28,2,0,384,41.0,8.0,91,0,0,0.0,8,18.0,10.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::util::ToStringSorter,3,1,1,2,6,0,2,0,42.0,4.0,8,0,1,2.0,3,11.0,10.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::DoubleLiteral,4,6,0,4,10,0,1,385,85.0,5.0,79,0,0,1.0,5,16.0,16.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::util::HashtableOfIntValues,5,1,2,3,36,0,5,0,115.0,9.0,16,0,1,4.0,8,24.0,31.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::classfmt::FieldInfoWithAnnotation,5,3,1,5,10,0,1,12,40.0,5.0,45,1,0,0.0,2,17.0,10.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::Clinit,20,3,2,19,55,0,2,408,231.0,11.0,58,2,1,0.0,10,79.0,46.0,2,0,0,0,0,
org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword2,2,3,1,1,10,0,2,387,18.0,5.0,35,2,0,0.0,5,9.0,5.0,0,0,0,0,0,
org::eclipse::jdt::core::compiler::CompilationProgress,2,1,2,0,10,0,0,0,0.0,5.0,8,0,0,0.0,5,5.0,0.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::dom::rewrite::ImportRewriteAnalyzer,17,1,2,16,351,0,13,0,606.0,27.0,8,13,16,0.0,9,306.0,157.0,1,0,0,0,0,
org::eclipse::jdt::internal::compiler::lookup::SyntheticMethodBinding,7,3,1,7,6,0,16,37,166.0,4.0,72,0,0,7.0,3,34.0,38.0,2,0,0,0,0,
org::eclipse::jdt::internal::core::dom::rewrite::NodeInfoStore,15,1,5,10,36,0,3,0,74.0,9.0,8,3,1,0.0,8,37.0,19.0,0,0,0,0,0,
org::eclipse::jdt::core::dom::QualifiedName,8,4,4,4,105,0,5,97,110.0,15.0,79,3,0,0.0,5,58.0,28.0,0,0,0,0,0,
org::eclipse::jdt::core::dom::SuperConstructorInvocation,5,3,1,5,120,0,8,95,101.0,16.0,73,5,0,0.0,6,54.0,29.0,0,0,0,0,0,
org::eclipse::jdt::core::ClasspathVariableInitializer,1,1,1,0,1,0,0,0,3.0,2.0,8,0,0,0.0,2,2.0,1.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::ClassFile,51,4,22,34,990,0,2,63,549.0,45.0,161,0,3,0.0,31,243.0,124.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::util::HashtableOfLong,2,1,1,1,21,0,4,0,74.0,7.0,8,0,1,4.0,6,11.0,22.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::codegen::BranchLabel,25,2,20,6,66,1,6,3,199.0,12.0,10,2,0,2.0,9,45.0,52.0,1,0,0,0,0,
org::eclipse::jdt::internal::core::util::LocalVariableTypeTableEntry,4,2,1,3,28,0,7,0,38.0,8.0,26,7,0,0.0,8,15.0,10.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::lookup::AnnotationHolder,4,1,2,2,15,1,1,0,32.0,6.0,8,0,0,1.0,1,10.0,15.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::CompoundAssignment,11,5,1,10,36,2,2,413,150.0,9.0,84,0,0,2.0,9,49.0,48.0,0,0,0,0,0,
org::eclipse::jdt::core::search::TypeParameterReferenceMatch,2,2,1,1,0,0,0,2,4.0,1.0,33,0,0,0.0,1,2.0,1.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::ClasspathAccessRule,4,2,3,1,6,0,0,7,27.0,4.0,17,0,1,0.0,3,7.0,11.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::CompilationUnit,69,4,28,51,3081,2,4,68,830.0,79.0,200,1,0,1.0,67,442.0,216.0,1,0,1,0,0,
org::eclipse::jdt::internal::core::search::matching::SuperTypeNamesCollector,26,1,2,25,21,0,8,0,162.0,7.0,8,0,0,8.0,2,61.0,37.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::DocumentAdapter,2,1,1,1,3,0,1,0,12.0,3.0,0,1,0,0.0,3,8.0,3.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::lookup::MethodVerifier,18,1,7,13,630,1,5,0,736.0,36.0,8,1,0,4.0,3,267.0,292.0,3,1,1,0,0,
org::eclipse::jdt::internal::core::jdom::DOMInitializer,8,4,1,7,120,0,2,50,89.0,16.0,174,0,0,0.0,7,45.0,22.0,0,0,0,0,0,
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocTypeParamReference,2,7,1,1,10,0,2,396,17.0,5.0,102,0,0,2.0,5,8.0,6.0,0,0,0,0,0,
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedTypeReference,5,6,2,3,45,0,6,386,63.0,10.0,95,1,0,1.0,9,27.0,17.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::SingleMemberAnnotation,6,5,3,3,10,0,2,388,34.0,5.0,78,1,0,1.0,5,14.0,9.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::util::BindingKeyResolver,15,2,1,14,630,0,17,2,435.0,36.0,41,0,5,17.0,31,113.0,119.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::CharLiteral,3,6,0,3,15,0,1,385,72.0,6.0,79,0,1,1.0,5,16.0,18.0,0,0,0,0,0,
org::eclipse::jdt::internal::codeassist::impl::AssistParser,12,2,3,9,3828,2,25,402,1384.0,88.0,8,0,0,3.0,24,340.0,283.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::ImportDeclaration,6,4,2,4,66,1,2,52,57.0,12.0,131,0,0,0.0,8,30.0,18.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::jdom::SiblingEnumeration,3,1,2,1,3,0,1,0,13.0,3.0,8,0,0,0.0,2,4.0,4.0,0,0,0,0,0,
org::eclipse::jdt::internal::codeassist::complete::CompletionOnSingleNameReference,3,7,1,2,3,0,4,419,17.0,3.0,115,0,0,4.0,3,8.0,4.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::Initializer,12,5,3,9,55,1,0,68,67.0,11.0,199,0,0,0.0,7,41.0,19.0,0,0,0,0,0,
org::eclipse::jdt::core::dom::rewrite::ASTRewrite,24,1,6,19,325,0,4,0,281.0,26.0,8,4,7,0.0,16,150.0,74.0,1,0,0,0,0,
org::eclipse::jdt::internal::core::search::indexing::RemoveFromIndex,3,2,1,2,3,0,1,8,25.0,3.0,19,0,0,1.0,3,8.0,8.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::NameReference,4,5,4,0,36,2,3,384,34.0,9.0,85,0,0,3.0,9,9.0,11.0,0,0,0,0,0,
org::eclipse::jdt::core::dom::EnumConstantDeclaration,8,3,1,8,210,0,9,97,141.0,21.0,84,4,0,0.0,8,78.0,36.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::search::matching::FieldLocator,20,3,1,20,78,0,1,69,274.0,13.0,37,0,0,0.0,2,89.0,100.0,1,0,0,0,0,
org::eclipse::jdt::internal::core::SourceField,21,6,3,19,78,1,0,69,120.0,13.0,216,0,0,0.0,10,67.0,34.0,0,0,0,0,0,
org::eclipse::jdt::core::dom::DefaultBindingResolver,35,2,4,34,741,0,7,0,1106.0,39.0,43,1,1,6.0,2,369.0,331.0,1,0,0,0,0,
org::eclipse::jdt::internal::compiler::parser::RecoveredLocalVariable,6,3,1,5,55,0,6,5,107.0,11.0,40,0,0,6.0,11,21.0,34.0,0,0,0,0,0,
org::eclipse::jdt::internal::codeassist::select::SelectionOnParameterizedSingleTypeReference,3,8,1,2,3,0,0,388,21.0,3.0,110,0,0,0.0,3,11.0,4.0,0,0,0,0,0,
org::eclipse::jdt::internal::formatter::comment::JavaDocLine,3,3,1,2,3,0,1,58,15.0,3.0,37,0,0,0.0,0,9.0,5.0,0,0,0,0,0,
org::eclipse::jdt::internal::codeassist::complete::CompletionOnBrankStatementLabel,2,4,1,1,6,0,4,384,23.0,4.0,41,1,0,1.0,4,10.0,5.0,0,0,0,0,0,
org::eclipse::jdt::core::dom::QualifiedType,8,3,4,4,91,0,6,95,107.0,14.0,76,3,0,1.0,5,53.0,27.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::ReconcileWorkingCopyOperation,15,2,2,15,28,0,9,18,190.0,8.0,62,0,2,9.0,3,73.0,46.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::builder::CompilationParticipantResult,2,1,1,1,3,1,6,0,19.0,3.0,8,0,0,0.0,1,4.0,3.0,0,0,0,0,0,
org::eclipse::jdt::core::compiler::CompilationParticipant,4,1,4,0,28,0,2,0,24.0,8.0,8,0,0,2.0,8,8.0,8.0,1,0,0,0,0,
org::eclipse::jdt::internal::compiler::lookup::MethodBinding,66,2,56,19,1540,4,9,28,724.0,56.0,16,0,0,9.0,54,244.0,235.0,3,0,0,0,0,
org::eclipse::jdt::internal::core::hierarchy::HierarchyResolver,38,1,3,35,120,0,10,0,629.0,16.0,9,8,10,2.0,5,174.0,150.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::ParameterizedSingleTypeReference,14,7,2,12,45,1,1,387,244.0,10.0,101,0,1,1.0,8,91.0,61.0,1,0,0,0,0,
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocMessageSend,2,6,1,1,28,0,2,408,56.0,8.0,101,0,0,2.0,8,26.0,18.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::search::indexing::AddFolderToIndex,3,2,1,2,3,0,4,8,79.0,3.0,19,0,0,4.0,3,19.0,11.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::BasicCompilationUnit,7,2,4,3,21,0,5,1,71.0,7.0,12,0,1,0.0,6,24.0,19.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::lookup::BinaryTypeBinding,37,4,7,33,666,1,9,49,947.0,37.0,148,0,6,0.0,24,297.0,293.0,1,0,1,0,0,
org::eclipse::jdt::internal::compiler::lookup::RawTypeBinding,9,5,1,9,78,0,0,57,129.0,13.0,202,0,0,0.0,12,78.0,33.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::SortElementsOperation,16,2,1,15,55,0,4,18,281.0,11.0,62,0,3,3.0,4,78.0,37.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::lookup::CompilationUnitScope,44,2,21,28,406,0,13,262,687.0,29.0,80,5,5,8.0,10,280.0,226.0,4,0,0,0,0,
org::eclipse::jdt::core::search::FieldDeclarationMatch,2,2,2,0,0,0,0,2,3.0,1.0,33,0,0,0.0,1,1.0,1.0,0,0,0,0,0,
org::eclipse::jdt::core::jdom::DOMException,2,1,2,0,0,0,1,0,3.0,1.0,23,1,0,0.0,1,1.0,1.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::flow::UnconditionalFlowInfo,24,2,19,6,703,1,12,8,1440.0,38.0,46,0,0,9.0,37,84.0,342.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::util::ConstantValueAttribute,3,3,1,2,3,0,2,1,11.0,3.0,31,2,0,0.0,2,5.0,3.0,0,0,0,0,0,
org::eclipse::jdt::internal::codeassist::complete::CompletionOnClassLiteralAccess,3,5,1,2,3,0,2,387,17.0,3.0,75,0,0,2.0,3,10.0,4.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::batch::FileSystem,11,1,1,10,36,0,2,12,198.0,9.0,11,0,3,2.0,5,65.0,66.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::problem::ShouldNotImplement,2,1,2,0,0,0,1,0,3.0,1.0,23,1,0,0.0,1,1.0,1.0,0,0,0,0,0,
org::eclipse::jdt::internal::codeassist::complete::CompletionScanner,11,2,3,8,28,0,7,219,796.0,8.0,55,0,0,6.0,8,104.0,260.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::NumberLiteral,1,5,1,0,3,5,1,384,11.0,3.0,76,0,0,1.0,3,3.0,3.0,0,0,0,0,0,
org::eclipse::jdt::internal::eval::CodeSnippetScope,18,3,5,13,45,0,0,274,308.0,10.0,103,0,0,0.0,10,118.0,94.0,2,0,0,0,0,
org::eclipse::jdt::internal::codeassist::select::SelectionOnImportReference,2,3,1,1,1,0,0,387,12.0,2.0,32,0,0,0.0,2,7.0,4.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::codegen::Label,0,1,0,0,1,2,3,0,3.0,2.0,8,0,0,2.0,2,2.0,1.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::JavadocQualifiedTypeReference,9,6,2,7,15,1,3,386,48.0,6.0,95,0,1,3.0,3,27.0,14.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::search::matching::JavaSearchPattern,35,3,25,10,153,9,11,52,306.0,18.0,27,2,0,6.0,6,94.0,88.0,1,0,0,0,0,
org::eclipse::jdt::core::dom::RecoveredVariableBinding,7,2,0,7,190,0,2,6,87.0,20.0,30,2,0,0.0,19,47.0,29.0,0,0,0,0,0,
org::eclipse::jdt::core::CompletionProposal,8,2,4,4,780,0,49,20,347.0,40.0,25,22,0,0.0,39,105.0,100.0,1,0,0,0,0,
org::eclipse::pde::internal::core::text::toc::TocAnchor,5,5,3,2,21,0,1,28,23.0,7.0,248,1,0,0.0,7,10.0,7.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::SystemFileEditorInputFactory,1,1,0,1,1,0,0,0,8.0,2.0,6,0,0,0.0,2,5.0,2.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::actions::SimpleCSRemoveRunObjectAction,4,1,1,3,3,0,1,0,28.0,3.0,0,1,0,0.0,3,12.0,9.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::outline::QuickOutlineNamePatternFilter,1,1,1,0,6,0,1,0,36.0,4.0,0,1,1,0.0,3,9.0,10.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::tests::macro::FocusCommand,4,2,1,3,15,0,1,0,32.0,6.0,18,0,0,0.0,6,17.0,8.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::build::ProductExportJob,3,2,1,2,1,0,2,1,8.0,2.0,5,2,0,0.0,1,4.0,2.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::PDEUIMessages,0,1,0,0,0,0,2169,0,0.0,0.0,0,1,0,2168.0,0,0.0,0.0,28,2,0,0,0,
org::eclipse::pde::internal::ui::wizards::tools::ConvertedProjectWizard,3,2,1,2,3,0,3,0,15.0,3.0,8,3,0,0.0,3,8.0,3.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::correction::OrganizeExportPackageResolution,2,3,0,2,6,0,0,5,12.0,4.0,14,0,0,0.0,3,7.0,4.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::views::plugins::JavaSearchOperation,3,1,1,2,1,0,2,0,15.0,2.0,6,2,0,0.0,2,7.0,3.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::PDEFormTextEditorContributor,7,2,1,7,120,7,6,3,158.0,16.0,20,6,3,0.0,9,60.0,36.0,1,1,0,0,0,
org::eclipse::pde::internal::core::builders::SchemaErrorReporter,11,2,1,10,55,0,9,5,172.0,11.0,50,7,9,0.0,2,106.0,60.0,0,0,0,0,0,
org::eclipse::pde::internal::core::cheatsheet::comp::CompCSDependency,5,4,1,4,78,0,2,62,51.0,13.0,55,2,0,0.0,8,24.0,16.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::target::ArgumentsSection,13,3,1,12,78,0,5,0,130.0,13.0,21,5,5,0.0,7,61.0,20.0,0,0,0,0,0,
org::eclipse::pde::internal::core::product::ArgumentsInfo,6,3,1,5,55,0,11,15,210.0,11.0,36,11,2,0.0,9,128.0,76.0,0,0,0,0,0,
org::eclipse::pde::internal::core::search::ExtensionPluginSearchScope,5,2,1,4,1,0,1,6,18.0,2.0,11,0,0,1.0,2,9.0,5.0,0,0,0,0,0,
org::eclipse::ui::internal::views::log::Messages,0,1,0,0,0,0,81,0,0.0,0.0,0,1,0,80.0,0,0.0,0.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::plugin::PluginContentPage,10,2,1,9,66,0,19,11,245.0,12.0,13,18,5,0.0,4,83.0,36.0,3,1,0,0,0,
org::eclipse::pde::internal::ui::wizards::ctxhelp::NewCtxHelpOperation,8,1,1,7,6,0,1,0,42.0,4.0,0,1,1,0.0,1,21.0,8.0,0,0,0,0,0,
org::eclipse::pde::internal::core::build::Build,12,2,4,8,28,0,1,0,36.0,8.0,20,0,0,0.0,8,36.0,10.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::details::SimpleCSItemDetails,12,4,1,11,120,0,9,0,252.0,16.0,32,9,5,0.0,11,88.0,29.0,0,0,0,0,0,
org::eclipse::pde::internal::runtime::spy::dialogs::SpyDialog,12,1,3,10,21,0,4,0,82.0,7.0,0,4,0,0.0,2,28.0,11.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::build::BuildFeatureAction,11,2,0,11,1,0,1,1,34.0,2.0,14,1,0,0.0,0,28.0,7.0,0,0,0,0,0,
org::eclipse::pde::ui::launcher::EquinoxLaunchConfiguration,17,2,0,17,21,0,2,1,123.0,7.0,19,1,3,0.0,1,102.0,30.0,1,0,0,0,0,
org::eclipse::pde::internal::core::exports::FeatureExportInfo,6,1,6,0,0,0,11,0,0.0,1.0,6,0,0,11.0,1,1.0,0.0,1,0,0,0,0,
org::eclipse::pde::internal::ui::launcher::ProgramBlock,6,1,3,3,78,1,6,0,118.0,13.0,6,5,0,0.0,5,58.0,29.0,1,0,0,0,0,
org::eclipse::pde::internal::ui::PDEPlugin,362,1,355,11,253,0,10,32,134.0,23.0,0,10,2,0.0,21,72.0,39.0,1,0,0,0,0,
org::eclipse::pde::internal::core::text::bundle::ExportPackageObject,22,4,10,12,136,0,4,4,237.0,17.0,51,4,2,0.0,13,117.0,50.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::product::NewProductFileAction,3,1,0,3,1,0,0,0,13.0,2.0,0,0,0,0.0,2,8.0,2.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::search::dependencies::AddNewDependenciesAction,2,1,1,1,3,0,2,0,32.0,3.0,0,2,0,0.0,2,6.0,3.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::tests::macro::NewMacroWizard,2,1,1,1,3,0,2,0,20.0,3.0,0,2,0,0.0,3,8.0,4.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::feature::PluginSection,30,5,1,29,378,0,5,2,317.0,28.0,73,5,9,0.0,11,177.0,61.0,0,0,0,0,0,
org::eclipse::pde::internal::core::text::bundle::SingleManifestHeader,16,4,12,4,36,8,2,4,44.0,9.0,55,2,0,0.0,8,26.0,13.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::refactoring::ManifestPackageMoveParticipant,4,2,0,4,10,0,0,2,47.0,5.0,7,0,1,0.0,1,25.0,15.0,0,0,0,0,0,
org::eclipse::pde::internal::core::plugin::Fragment,10,5,3,7,78,0,5,28,144.0,13.0,185,5,0,0.0,11,84.0,38.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::site::SiteEditor,27,3,1,26,210,0,1,1,153.0,21.0,72,1,3,0.0,5,92.0,32.0,1,0,0,0,0,
org::eclipse::pde::internal::core::target::TargetObject,13,2,9,4,28,9,2,0,30.0,8.0,11,2,0,0.0,5,18.0,10.0,0,0,0,0,0,
org::eclipse::pde::ui::launcher::MainTab,4,2,1,3,78,1,4,43,96.0,13.0,6,1,0,0.0,10,40.0,19.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::context::XMLDocumentSetupParticpant,7,1,6,1,3,0,1,0,15.0,3.0,6,0,1,0.0,2,9.0,4.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::build::JARFileFilter,2,1,1,1,6,1,2,0,31.0,4.0,0,2,0,0.0,4,15.0,12.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::templates::osgi::OSGiPreferencesServiceTemplate,3,5,1,2,28,0,1,13,29.0,8.0,80,0,0,0.0,7,14.0,8.0,0,0,0,0,0,
org::eclipse::pde::internal::core::text::toc::TocLink,8,5,4,4,21,0,1,28,30.0,7.0,248,1,0,0.0,7,21.0,8.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::extension::ExtensionEditorSelectionPage,2,3,1,1,3,0,3,2,23.0,3.0,19,3,0,0.0,2,5.0,3.0,0,0,0,0,0,
org::eclipse::pde::internal::core::text::bundle::BundleClasspathHeader,3,5,3,0,3,0,1,6,9.0,3.0,71,1,0,0.0,3,5.0,3.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::RenameDialog,5,1,2,3,78,0,7,0,104.0,13.0,0,7,1,0.0,8,46.0,24.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::site::SiteInputContext,13,4,1,12,55,0,2,3,110.0,11.0,51,1,2,0.0,3,50.0,18.0,1,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::target::TargetDefinitionFromTargetOperation,6,2,1,5,1,0,1,0,17.0,2.0,4,1,0,0.0,1,10.0,3.0,1,0,0,0,0,
org::eclipse::pde::internal::ui::refactoring::ResourceMoveParticipant,7,2,0,7,6,2,0,2,39.0,4.0,7,0,0,0.0,0,32.0,13.0,0,0,0,0,0,
org::eclipse::pde::internal::runtime::MessageHelper,1,1,1,0,1,0,0,0,18.0,2.0,6,0,1,0.0,1,14.0,7.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::plugin::ExtensionContentProvider,6,2,1,5,10,0,0,0,27.0,5.0,9,0,0,0.0,4,14.0,10.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::target::JRESection,14,3,1,13,66,0,10,0,179.0,12.0,21,10,5,0.0,4,77.0,22.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::plugin::RuntimePage,10,2,1,10,6,0,1,0,34.0,4.0,28,0,1,0.0,1,33.0,7.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::actions::HyperlinkAction,4,1,3,2,105,0,3,0,94.0,15.0,0,0,1,0.0,11,43.0,36.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::tools::ExtensionPointMappings,2,1,0,2,10,0,1,0,33.0,5.0,6,1,1,0.0,4,16.0,10.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::feature::CreateFeatureProjectFromLaunchOperation,6,3,1,5,3,0,1,4,26.0,3.0,9,1,1,0.0,1,11.0,7.0,0,0,0,0,0,
org::eclipse::pde::internal::core::text::plugin::PluginAttribute,9,4,6,4,190,0,3,16,69.0,20.0,200,3,0,0.0,20,42.0,20.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::text::ManifestConfiguration,11,2,1,10,78,0,8,2,93.0,13.0,11,8,0,0.0,12,38.0,30.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::text::ExternalizedStringRule,3,1,1,2,1,0,0,0,17.0,2.0,0,0,0,0.0,1,5.0,4.0,0,0,0,0,0,
org::eclipse::pde::internal::core::site::SiteObject,18,2,9,9,253,6,5,1,131.0,23.0,14,1,0,3.0,12,60.0,40.0,0,0,0,0,0,
org::eclipse::pde::internal::core::variables::TargetOSVariableResolver,1,1,0,1,0,0,0,0,3.0,1.0,6,0,0,0.0,1,2.0,1.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::product::PluginSection,29,5,2,27,528,0,3,2,432.0,33.0,73,2,16,0.0,9,239.0,92.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::templates::ide::BuilderTemplate,15,5,1,14,91,0,8,13,166.0,14.0,80,8,1,0.0,10,70.0,23.0,0,0,0,0,0,
org::eclipse::pde::internal::core::natures::PluginProject,1,2,0,1,3,0,0,0,11.0,3.0,6,0,0,0.0,3,5.0,3.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::plugin::NewLibraryPluginCreationOperation,26,2,1,25,153,0,1,0,416.0,18.0,11,1,9,0.0,1,205.0,86.0,1,0,0,0,0,
org::eclipse::pde::internal::ui::correction::ChooseClassXMLResolution,5,3,1,4,6,0,0,6,19.0,4.0,17,0,0,0.0,3,10.0,6.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::contentassist::XMLElementProposalComputer,8,1,0,8,28,0,0,0,129.0,8.0,6,0,8,0.0,0,55.0,27.0,0,0,0,0,0,
org::eclipse::pde::internal::core::WorkspacePluginModelManager,26,3,1,25,231,0,2,1,314.0,22.0,30,2,4,0.0,2,194.0,93.0,1,0,1,0,0,
org::eclipse::pde::internal::ui::editor::toc::actions::TocRemoveObjectAction,3,1,1,2,10,0,2,0,46.0,5.0,0,2,1,0.0,4,13.0,13.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::plugin::NewPluginProjectWizard,13,2,1,12,36,0,11,0,110.0,9.0,8,7,0,0.0,8,52.0,22.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::build::BuildClasspathSection,25,5,1,24,136,0,2,2,212.0,17.0,73,2,6,0.0,8,117.0,50.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::correction::AddSingletonToSymbolicName,4,3,1,3,6,0,1,5,28.0,4.0,14,1,0,0.0,3,11.0,12.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::views::dependencies::CallersContentProvider,2,3,2,0,1,2,0,0,13.0,2.0,16,0,0,0.0,1,5.0,4.0,0,0,0,0,0,
org::eclipse::pde::internal::runtime::spy::SpyFormToolkit,13,1,7,6,66,0,5,0,177.0,12.0,0,5,5,0.0,7,74.0,31.0,0,0,0,0,0,
org::eclipse::pde::internal::runtime::registry::ServiceReferenceAdapter,3,3,1,2,6,0,0,1,15.0,4.0,5,0,0,0.0,3,8.0,5.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::exports::BaseExportWizard,9,1,6,3,55,2,1,11,45.0,11.0,0,0,0,0.0,6,30.0,12.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::tests::macro::PlaybackAction,3,1,0,3,15,0,1,0,32.0,6.0,6,1,1,0.0,5,16.0,8.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::plugin::rows::TranslatableAttributeRow,4,4,0,4,3,0,0,7,13.0,3.0,36,0,0,0.0,1,13.0,4.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::product::NewProductFileWizard,6,1,1,5,15,0,1,0,32.0,6.0,0,1,1,0.0,4,21.0,7.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::site::NewSiteProjectWizard,5,2,1,4,6,0,3,0,34.0,4.0,8,2,0,0.0,4,15.0,5.0,0,0,0,0,0,
org::eclipse::pde::internal::core::util::Headers,4,1,0,4,190,0,4,0,93.0,20.0,0,4,2,0.0,18,44.0,30.0,0,0,0,0,0,
org::eclipse::pde::internal::core::site::WorkspaceSiteModel,13,5,5,8,105,0,4,2,95.0,15.0,80,4,0,0.0,13,45.0,20.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::schema::SchemaDtdDetailsSection,4,1,1,3,3,0,2,0,42.0,3.0,0,2,0,0.0,2,12.0,9.0,0,0,0,0,0,
org::eclipse::pde::internal::core::util::XMLComponentRegistry,6,1,6,0,91,0,10,0,97.0,14.0,6,5,4,0.0,10,43.0,31.0,0,0,0,0,0,
